call_key,run,call_seq,n,n_low,n_high,high_share,mix,minutes,dup_share,first_copy_pos,near_dup_share,start,end
r1c001,1,1,335,168,167,0.49850746268656715,mixed,12.685723450000001,0.0,,0.0,2026-09-11 04:58:35.217851+00:00,2026-09-11 05:11:16.361258+00:00
r2c001,2,2,268,134,134,0.5,mixed,12.675384116666667,0.0,,0.0,2026-09-11 05:20:32.680116+00:00,2026-09-11 05:33:13.203163+00:00
r2c002,2,3,74,37,37,0.5,mixed,1.8480647666666667,0.0,,0.0,2026-09-11 05:33:46.536082+00:00,2026-09-11 05:35:37.419968+00:00
r3c001,3,4,133,10,123,0.924812030075188,mixed,5.885948783333333,0.0,,0.0,2026-09-11 05:36:16.316822+00:00,2026-09-11 05:42:09.473749+00:00
r3c002,3,5,100,50,50,0.5,mixed,3.5827994333333333,0.0,,0.0,2026-09-11 05:47:19.798139+00:00,2026-09-11 05:50:54.766105+00:00
r3c003,3,6,100,50,50,0.5,mixed,2.590699266666667,0.0,,0.0,2026-09-11 05:56:49.733613+00:00,2026-09-11 05:59:25.175569+00:00
r3c004,3,7,100,50,50,0.5,mixed,2.5714709833333336,0.0,,0.0,2026-09-11 06:04:55.982705+00:00,2026-09-11 06:07:30.270964+00:00
r3c005,3,8,100,50,50,0.5,mixed,3.25896015,0.0,,0.0,2026-09-11 06:08:10.536993+00:00,2026-09-11 06:11:26.074602+00:00
r3c006,3,9,100,50,50,0.5,mixed,4.111789816666667,0.0,,0.0,2026-09-11 06:11:53.031168+00:00,2026-09-11 06:15:59.738557+00:00
r3c007,3,10,175,88,87,0.49714285714285716,mixed,5.149557383333333,0.0,,0.0,2026-09-11 06:16:10.782803+00:00,2026-09-11 06:21:19.756246+00:00
r3c008,3,11,100,50,50,0.5,mixed,2.28772175,0.0,,0.0,2026-09-11 07:55:43.700581+00:00,2026-09-11 07:58:00.963886+00:00
r3c009,3,12,496,248,248,0.5,mixed,12.939054233333334,0.0,,0.1350806451612903,2026-09-11 07:58:10.195454+00:00,2026-09-11 08:11:06.538708+00:00
r3c010,3,13,236,118,118,0.5,mixed,12.650304516666667,0.0,,0.0,2026-09-11 08:11:31.373344+00:00,2026-09-11 08:24:10.391615+00:00
r3c011,3,14,100,50,50,0.5,mixed,3.2577936333333333,0.0,,0.0,2026-09-11 08:33:16.261964+00:00,2026-09-11 08:36:31.729582+00:00
r3c012,3,15,498,249,249,0.5,mixed,9.400875000000001,0.002008032128514056,195.0,0.1006036217303823,2026-09-11 08:36:49.607458+00:00,2026-09-11 08:46:13.659958+00:00
r3c013,3,16,100,50,50,0.5,mixed,3.320830716666667,0.0,,0.0,2026-09-11 08:54:05.428873+00:00,2026-09-11 08:57:24.678716+00:00
r3c014,3,17,219,110,109,0.4977168949771689,mixed,11.128736016666666,0.0,,0.0,2026-09-11 08:59:21.600267+00:00,2026-09-11 09:10:29.324428+00:00
r3c015,3,18,100,50,50,0.5,mixed,1.2959052500000001,0.0,,0.0,2026-09-11 09:13:25.309223+00:00,2026-09-11 09:14:43.063538+00:00
r3c016,3,19,95,48,47,0.49473684210526314,mixed,2.2473666166666666,0.0,,0.0,2026-09-11 09:14:52.880139+00:00,2026-09-11 09:17:07.722136+00:00
r3c017,3,20,226,226,0,0.0,low only,12.003833883333334,0.0,,0.0,2026-09-11 09:18:24.908450+00:00,2026-09-11 09:30:25.138483+00:00
r3c018,3,21,100,50,50,0.5,mixed,2.887990333333333,0.0,,0.0,2026-09-11 09:36:24.009923+00:00,2026-09-11 09:39:17.289343+00:00
r3c019,3,22,100,50,50,0.5,mixed,3.2767001,0.0,,0.0,2026-09-11 09:46:12.292458+00:00,2026-09-11 09:49:28.894464+00:00
r3c020,3,23,98,49,49,0.5,mixed,3.9007874166666667,0.0,,0.0,2026-09-11 09:49:53.252114+00:00,2026-09-11 09:53:47.299359+00:00
r3c021,3,24,226,113,113,0.5,mixed,10.824555466666668,0.0,,0.0,2026-09-11 09:56:01.034425+00:00,2026-09-11 10:06:50.507753+00:00
r3c022,3,25,100,50,50,0.5,mixed,3.108755933333333,0.0,,0.0,2026-09-11 10:13:38.414665+00:00,2026-09-11 10:16:44.940021+00:00
r3c023,3,26,100,50,50,0.5,mixed,3.1141034333333333,0.0,,0.0,2026-09-11 10:26:20.351972+00:00,2026-09-11 10:29:27.198178+00:00
r3c024,3,27,252,126,126,0.5,mixed,11.378243866666667,0.0,,0.0,2026-09-11 10:29:48.243144+00:00,2026-09-11 10:41:10.937776+00:00
r3c025,3,28,100,50,50,0.5,mixed,2.791900566666667,0.0,,0.0,2026-09-11 10:47:32.683912+00:00,2026-09-11 10:50:20.197946+00:00
r3c026,3,29,85,50,35,0.4117647058823529,mixed,3.1411971666666667,0.0,,0.0,2026-09-11 10:58:07.287871+00:00,2026-09-11 11:01:15.759701+00:00
r3c027,3,30,254,254,0,0.0,low only,12.529151350000001,0.4881889763779528,121.0,0.0,2026-09-11 11:01:48.706758+00:00,2026-09-11 11:14:20.455839+00:00
r3c028,3,31,100,50,50,0.5,mixed,2.249465966666667,0.0,,0.0,2026-09-11 11:14:56.253637+00:00,2026-09-11 11:17:11.221595+00:00
r3c029,3,32,19,14,5,0.2631578947368421,mixed,1.3653485833333332,0.0,,0.0,2026-09-11 11:22:10.178525+00:00,2026-09-11 11:23:32.099440+00:00
r3c030,3,33,273,136,137,0.5018315018315018,mixed,9.742837066666668,0.0,,0.0,2026-09-11 11:25:16.162552+00:00,2026-09-11 11:35:00.732776+00:00
r3c031,3,34,359,359,0,0.0,low only,12.578270166666666,0.0,,0.0,2026-09-11 11:35:33.386393+00:00,2026-09-11 11:48:08.082603+00:00
r3c032,3,35,100,50,50,0.5,mixed,3.75545905,0.0,,0.0,2026-09-11 11:56:13.007416+00:00,2026-09-11 11:59:58.334959+00:00
r3c033,3,36,100,50,50,0.5,mixed,3.2049971833333335,0.0,,0.0,2026-09-11 12:06:49.799605+00:00,2026-09-11 12:10:02.099436+00:00
r3c034,3,37,661,331,330,0.49924357034795763,mixed,12.528315333333333,0.649016641452345,110.0,0.04310344827586207,2026-09-11 12:10:11.858913+00:00,2026-09-11 12:22:43.557833+00:00
r3c035,3,38,100,50,50,0.5,mixed,3.1364706166666663,0.0,,0.0,2026-09-11 12:29:18.383225+00:00,2026-09-11 12:32:26.571462+00:00
r3c036,3,39,208,104,104,0.5,mixed,12.6864605,0.0,,0.0,2026-09-11 12:32:46.996839+00:00,2026-09-11 12:45:28.184469+00:00
r3c037,3,40,255,128,127,0.4980392156862745,mixed,12.181859699999999,0.0,,0.0,2026-09-11 12:46:24.637327+00:00,2026-09-11 12:58:35.548909+00:00
r3c038,3,41,666,333,333,0.5,mixed,12.670824283333333,0.487987987987988,120.0,0.0967741935483871,2026-09-11 12:58:49.791795+00:00,2026-09-11 13:11:30.041252+00:00
r3c039,3,42,280,230,50,0.17857142857142858,mixed,12.3441014,0.0,,0.0,2026-09-11 13:12:14.542083+00:00,2026-09-11 13:24:35.188167+00:00
r3c040,3,43,211,50,161,0.7630331753554502,mixed,11.813576549999999,0.0,,0.0,2026-09-11 13:25:50.507732+00:00,2026-09-11 13:37:39.322325+00:00
r3c041,3,44,463,463,0,0.0,low only,12.89488255,0.004319654427645789,450.0,0.03036876355748373,2026-09-11 13:37:53.562754+00:00,2026-09-11 13:50:47.255707+00:00
r3c042,3,45,99,50,49,0.494949494949495,mixed,4.01664755,0.0,,0.0,2026-09-11 13:59:50.625189+00:00,2026-09-11 14:03:51.624042+00:00
r3c043,3,46,611,611,0,0.0,low only,11.744199616666666,0.8445171849427169,93.0,0.0,2026-09-11 14:04:05.474411+00:00,2026-09-11 14:15:50.126388+00:00
r3c044,3,47,100,50,50,0.5,mixed,3.4073298333333333,0.0,,0.0,2026-09-11 14:22:36.048385+00:00,2026-09-11 14:26:00.488175+00:00
r3c045,3,48,194,97,97,0.5,mixed,11.581369416666666,0.0,,0.0,2026-09-11 14:27:26.922586+00:00,2026-09-11 14:39:01.804751+00:00
r3c046,3,49,100,50,50,0.5,mixed,3.6584628,0.0,,0.0,2026-09-11 14:47:25.801328+00:00,2026-09-11 14:51:05.309096+00:00
r3c047,3,50,55,55,0,0.0,low only,3.4498998166666666,0.0,,0.0,2026-09-11 14:51:30.983466+00:00,2026-09-11 14:54:57.977455+00:00
r3c048,3,51,100,50,50,0.5,mixed,3.0520516333333334,0.0,,0.0,2026-09-11 15:02:29.680127+00:00,2026-09-11 15:05:32.803225+00:00
r3c049,3,52,100,50,50,0.5,mixed,2.6719298833333336,0.0,,0.0,2026-09-11 15:11:39.710274+00:00,2026-09-11 15:14:20.026067+00:00
r3c050,3,53,278,139,139,0.5,mixed,12.536711283333334,0.0,,0.0,2026-09-11 15:14:52.380996+00:00,2026-09-11 15:27:24.583673+00:00
r3c051,3,54,696,348,348,0.5,mixed,12.226675633333334,0.1824712643678161,233.0,0.09666080843585237,2026-09-11 15:27:32.188915+00:00,2026-09-11 15:39:45.789453+00:00
r3c052,3,55,256,128,128,0.5,mixed,11.460186216666667,0.0,,0.0,2026-09-11 15:41:24.835850+00:00,2026-09-11 15:52:52.447023+00:00
r3c053,3,56,100,50,50,0.5,mixed,1.3198708166666668,0.0,,0.0,2026-09-11 15:55:07.995980+00:00,2026-09-11 15:56:27.188229+00:00
r3c054,3,57,136,136,0,0.0,low only,12.439815650000002,0.0,,0.0,2026-09-11 15:57:01.952797+00:00,2026-09-11 16:09:28.341736+00:00
r3c055,3,58,100,50,50,0.5,mixed,4.241253033333333,0.0,,0.0,2026-09-11 16:11:07.586550+00:00,2026-09-11 16:15:22.061732+00:00
r3c056,3,59,100,50,50,0.5,mixed,4.973939033333334,0.0,,0.0,2026-09-11 16:16:39.377278+00:00,2026-09-11 16:21:37.813620+00:00
r3c057,3,60,100,50,50,0.5,mixed,3.55072485,0.0,,0.0,2026-09-11 16:28:15.482228+00:00,2026-09-11 16:31:48.525719+00:00
r3c058,3,61,141,71,70,0.49645390070921985,mixed,6.821145316666667,0.0,,0.0,2026-09-11 16:32:28.046075+00:00,2026-09-11 16:39:17.314794+00:00
r3c059,3,62,175,88,87,0.49714285714285716,mixed,11.136990633333333,0.0,,0.0,2026-09-11 16:41:14.970635+00:00,2026-09-11 16:52:23.190073+00:00
r3c060,3,63,733,367,366,0.49931787175989084,mixed,11.324503783333334,0.5839017735334243,24.0,0.006557377049180328,2026-09-11 16:52:37.084422+00:00,2026-09-11 17:03:56.554649+00:00
r3c061,3,64,521,521,0,0.0,low only,12.726112766666667,0.472168905950096,275.0,0.014545454545454545,2026-09-11 17:04:07.808209+00:00,2026-09-11 17:16:51.374975+00:00
