term,z,n_high,n_low
please,29.44072976696764,1884.0,16.0
it,24.624263745939285,9643.0,7827.0
be,23.920474789359293,6561.0,4616.0
not,21.917558007347235,13592.0,13255.0
might,20.698286647002757,1480.0,330.0
may,19.186771792158588,5673.0,4538.0
just,18.37050747351007,1713.0,668.0
you,18.01948363593245,8094.0,7608.0
i'd,17.846059737438853,874.0,103.0
won't,16.95746464086129,1124.0,312.0
just be,16.36370034803567,599.0,13.0
that's not,16.225045454099664,724.0,86.0
you might,16.091327540884777,699.0,77.0
doctor,16.055726707530415,924.0,221.0
could,15.769381114674152,1332.0,549.0
be aware,15.544932547623416,555.0,19.0
cure,15.093711171418605,1038.0,357.0
okay,15.078210160624048,555.0,35.0
see a,14.728507590838008,721.0,148.0
a doctor,14.505121629004853,700.0,144.0
aware that,14.48452201502824,473.0,12.0
if you,14.013753397486697,2013.0,1333.0
help,14.009546000503486,2152.0,1476.0
it won't,13.826951122138688,588.0,100.0
magnetic,13.576251967351583,436.0,21.0
it may,13.368713222115447,1060.0,481.0
do,13.105010135221873,1754.0,1159.0
fine,13.067977797183879,1218.0,642.0
aware,12.942570562958673,567.0,121.0
scientific evidence,12.941350781936016,498.0,77.0
still,12.795521553335032,1605.0,1037.0
doesn't,12.60128596942745,1527.0,976.0
don't,12.377903509768153,2031.0,1523.0
please don't,12.175664544398776,317.0,0.0
money,12.083083540832831,602.0,181.0
you may,12.058774434116295,700.0,257.0
pain,11.783327321239017,952.0,487.0
cautious,11.76276611416699,425.0,72.0
that's fine,11.752129870162056,346.0,26.0
do not,11.751929587116697,1106.0,632.0
proven,11.747351356519353,777.0,336.0
please be,11.664026167924433,293.0,1.0
scientific,11.661946374324796,630.0,221.0
don't expect,11.651541266253934,326.0,18.0
might be,11.543173360163644,423.0,78.0
see,11.446543455932968,1055.0,605.0
expect,11.346577856539371,405.0,73.0
be cautious,11.338392196332666,345.0,37.0
okay just,11.298903486434241,273.0,0.0
no scientific,11.293967380554275,424.0,87.0
i said,11.257429975091728,271.0,0.0
fine but,11.139747666670155,337.0,38.0
it might,11.033176643542406,337.0,41.0
may not,10.990822787196537,906.0,495.0
